FID,fclass,name,X,Y
13724,restaurant,Sooper Grill Restaurant,72.994220799999994,33.659474899999999
13725,hotel,Bismillah Hazara Hotel,72.985214799999994,33.671202899999997
13726,hotel,Bismillah Naan Centre,72.985764700000004,33.670534000000004
13727,butcher,Waqas Meat Shop,72.985776900000005,33.670704800000003
13728,hotel,Usman's Hostel,72.987421800000007,33.668549599999999
13729,restaurant,Makkah Al-Shahbaz Restaurant,72.987561600000006,33.668160999999998
13730,hostel,NUCES FAST Boys Hostel #2,72.987619100000003,33.668280199999998
13731,hostel,NUCES FAST Boys Hostel #1,72.987735799999996,33.668159799999998
13732,travel_agent,Falcon Adventure Club,72.998885099999995,33.677924400000002
13733,car_rental,Gray Beak Rent a Car/Cab Service,72.998670300000001,33.677835000000002
13734,school,Khaldunia High School,72.995539899999997,33.673259600000002
13735,college,Islamabad College Of Arts And Science,72.998396200000002,33.672487900000000
13736,restaurant,Syrian Baklava,72.994783100000006,33.675808000000004
13737,school,Bahria Foundation School,72.985698200000002,33.673736699999999
13738,school,Mount Sinai School,72.989244099999993,33.674783599999998
13739,school,International Islamic Grammar School,72.989461300000002,33.674859499999997
13740,school,Head Start School,72.992092600000007,33.676520199999999
13741,car_rental,"A&T Rent a Car , Islamabad",72.997970300000006,33.681101499999997
13742,school,Frobels Schools,72.994845499999997,33.681012199999998
13743,restaurant,Neemroz: Afghan Balous Cuisine,72.992841499999997,33.684535900000000
13744,hotel,Dhabba Hotel,72.979504399999996,33.682653799999997
13745,guesthouse,MPPL Guest House,72.978954400000006,33.683023900000002
